Node ID,Article Type,Article Title,Article Url,Body Format,Migrating target?,Current Link,Correct Link
29,whitepaper,Hybrid Hosting: Evolving the Cloud in 2011,http://rackspace.com/knowledge_center/whitepaper/hybrid-hosting-evolving-the-cloud-in-2011,tinymce,Yes,http://www.rackspace.com/knowledge_center/case-study/rackspace-gives-major-league-gaming-mlg-the-power-of-scale,https://www.rackspace.com/knowledge_center/case-study/rackspace-gives-major-league-gaming-mlg-the-power-of-scale
41,whitepaper,Unlocking the Enterprise Cloud,http://rackspace.com/knowledge_center/whitepaper/unlocking-the-enterprise-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/consideration-for-the-cloud-the-process-every-enterprise-should-think-through,https://www.rackspace.com/knowledge_center/whitepaper/consideration-for-the-cloud-the-process-every-enterprise-should-think-through
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it-matters,https://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it-matters,https://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas,https://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas,https://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas
48,whitepaper,How The Cloud Accelerates Innovation,http://rackspace.com/knowledge_center/whitepaper/how-the-cloud-accelerates-innovation,tinymce,Yes,http://www.rackspace.com/knowledge_center/case-study/rackspace-keeps-nickelodeons-kids-choice-awards-virtual-slime-flowing,https://www.rackspace.com/knowledge_center/case-study/rackspace-keeps-nickelodeons-kids-choice-awards-virtual-slime-flowing
48,whitepaper,How The Cloud Accelerates Innovation,http://rackspace.com/knowledge_center/whitepaper/how-the-cloud-accelerates-innovation,tinymce,Yes,http://www.rackspace.com/knowledge_center/case-study/rackspace-keeps-nickelodeons-kids-choice-awards-virtual-slime-flowing,https://www.rackspace.com/knowledge_center/case-study/rackspace-keeps-nickelodeons-kids-choice-awards-virtual-slime-flowing
51,whitepaper,The Real Costs of “Free” Email Services For Small Businesses,http://rackspace.com/knowledge_center/whitepaper/the-real-costs-of-“free”-email-services-for-small-businesses,tinymce,Yes,http://www.rackspace.com/knowledge_center/case-study/rackspace%C2%AE-managed-operations-lets-karmacrm-stay-focused-on-its-business,https://www.rackspace.com/knowledge_center/case-study/rackspace%C2%AE-managed-operations-lets-karmacrm-stay-focused-on-its-business
58,article,Rackspace Cloud Sites Essentials - MySQL Databases,http://rackspace.com/knowledge_center/article/rackspace-cloud-sites-essentials-4-mysql-databases,tinymce,Yes,https://www.rackspace.com/knowledge_center/getting-started/cloud-sites,https://www.rackspace.com/knowledge_center/getting-started/cloud-sites
